WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.8 -6.6)",POINT (106.8 -6.6),14710.0,120.0,Kabupaten Bogor,32010.0,20.0,-6.6,106.8,10.0
"POINT (106.922203 -6.92405)",POINT (106.922203 -6.92405),14720.0,120.0,Kabupaten Sukabumi,32020.0,20.0,-6.92405,106.922203,10.0
"POINT (107.1307289 -6.8172531)",POINT (107.1307289 -6.8172531),14730.0,120.0,Kabupaten Cianjur,32030.0,20.0,-6.8172531,107.1307289,10.0
"POINT (107.6098111 -6.9147444)",POINT (107.6098111 -6.9147444),14740.0,120.0,Kabupaten Bandung,32040.0,20.0,-6.9147444,107.6098111,10.0
"POINT (107.908699 -7.227906)",POINT (107.908699 -7.227906),14750.0,120.0,Kabupaten Garut,32050.0,20.0,-7.227906,107.908699,10.0
"POINT (108.214104 -7.327954)",POINT (108.214104 -7.327954),14760.0,120.0,Kabupaten Tasikmalaya,32060.0,20.0,-7.327954,108.214104,10.0
"POINT (108.35 -7.3333333)",POINT (108.35 -7.3333333),14770.0,120.0,Kabupaten Ciamis,32070.0,20.0,-7.3333333,108.35,10.0
"POINT (108.4833333 -6.9833333)",POINT (108.4833333 -6.9833333),14780.0,120.0,Kabupaten Kuningan,32080.0,20.0,-6.9833333,108.4833333,10.0
"POINT (108.564003 -6.715534)",POINT (108.564003 -6.715534),14790.0,120.0,Kabupaten Cirebon,32090.0,20.0,-6.715534,108.564003,10.0
"POINT (108.2258897 -6.8531026)",POINT (108.2258897 -6.8531026),14800.0,120.0,Kabupaten Majalengka,32100.0,20.0,-6.8531026,108.2258897,10.0
"POINT (107.9105449 -6.8554763)",POINT (107.9018025 -6.8269043),14810.0,120.0,Kabupaten Sumedang,32110.0,20.0,-6.8554763,107.9105449,10.0
"POINT (108.325104 -6.336315)",POINT (108.325104 -6.336315),14820.0,120.0,Kabupaten Indramayu,32120.0,20.0,-6.336315,108.325104,10.0
"POINT (107.752403 -6.569361)",POINT (107.752403 -6.569361),14830.0,120.0,Kabupaten Subang,32130.0,20.0,-6.569361,107.752403,10.0
"POINT (107.4499404 -6.5386806)",POINT (107.4499404 -6.5386806),14840.0,120.0,Kabupaten Purwakarta,32140.0,20.0,-6.5386806,107.4499404,10.0
"POINT (107.3375791 -6.3227303)",POINT (107.3375791 -6.3227303),14850.0,120.0,Kabupaten Karawang,32150.0,20.0,-6.3227303,107.3375791,10.0
"POINT (107.0 -6.2333333)",POINT (107.0 -6.2333333),14860.0,120.0,Kabupaten Bekasi,32160.0,20.0,-6.2333333,107,10.0
"POINT (107.4321959 -6.8937121)",POINT (107.4321959 -6.8937121),14870.0,120.0,Kabupaten Bandung Barat,32170.0,20.0,-6.8937121,107.4321959,10.0
"POINT (106.8 -6.6)",POINT (106.8 -6.6),14880.0,120.0,Kota Bogor,32710.0,20.0,-6.6,106.8,10.0
"POINT (106.922203 -6.92405)",POINT (106.922203 -6.92405),14890.0,120.0,Kota Sukabumi,32720.0,20.0,-6.92405,106.922203,10.0
"POINT (107.6098111 -6.9147444)",POINT (107.6098111 -6.9147444),14900.0,120.0,Kota Bandung,32730.0,20.0,-6.9147444,107.6098111,10.0
"POINT (108.564003 -6.715534)",POINT (108.564003 -6.715534),14910.0,120.0,Kota Cirebon,32740.0,20.0,-6.715534,108.564003,10.0
"POINT (107.0 -6.2333333)",POINT (107.0 -6.2333333),14920.0,120.0,Kota Bekasi,32750.0,20.0,-6.2333333,107,10.0
"POINT (106.83 -6.39)",POINT (106.83 -6.39),14930.0,120.0,Kota Depok,32760.0,20.0,-6.39,106.83,10.0
"POINT (107.5355 -6.880239)",POINT (107.5355 -6.880239),14940.0,120.0,Kota Cimahi,32770.0,20.0,-6.880239,107.5355,10.0
"POINT (108.214104 -7.327954)",POINT (108.214104 -7.327954),14950.0,120.0,Kota Tasikmalaya,32780.0,20.0,-7.327954,108.214104,10.0
"POINT (108.5333333 -7.3666667)",POINT (108.5333333 -7.3666667),14960.0,120.0,Kota Banjar,32790.0,20.0,-7.3666667,108.5333333,10.0
