WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (109.0 -7.733333)",POINT (109.0 -7.733333),14970.0,130.0,Kabupaten Cilacap,33010.0,20.0,-7.733333,109,10.0
"POINT (109.140438 -7.4832133)",POINT (109.140438 -7.4832133),14980.0,130.0,Kabupaten Banyumas,33020.0,20.0,-7.4832133,109.140438,10.0
"POINT (109.3638 -7.390747)",POINT (109.3638 -7.390747),14990.0,130.0,Kabupaten Purbalingga,33030.0,20.0,-7.390747,109.3638,10.0
"POINT (109.681396 -7.402706)",POINT (109.681396 -7.402706),15000.0,130.0,Kabupaten Banjarnegara,33040.0,20.0,-7.402706,109.681396,10.0
"POINT (109.656502 -7.678682)",POINT (109.656502 -7.678682),15010.0,130.0,Kabupaten Kebumen,33050.0,20.0,-7.678682,109.656502,10.0
"POINT (110.008003 -7.709731)",POINT (110.008003 -7.709731),15020.0,130.0,Kabupaten Purworejo,33060.0,20.0,-7.709731,110.008003,10.0
"POINT (109.899399 -7.362109)",POINT (109.899399 -7.362109),15030.0,130.0,Kabupaten Wonosobo,33070.0,20.0,-7.362109,109.899399,10.0
"POINT (110.213799 -7.481253)",POINT (110.213799 -7.481253),15040.0,130.0,Kabupaten Magelang,33080.0,20.0,-7.481253,110.213799,10.0
"POINT (110.595901 -7.523819)",POINT (110.595901 -7.523819),15050.0,130.0,Kabupaten Boyolali,33090.0,20.0,-7.523819,110.595901,10.0
"POINT (110.595497 -7.711687)",POINT (110.595497 -7.711687),15060.0,130.0,Kabupaten Klaten,33100.0,20.0,-7.711687,110.595497,10.0
"POINT (110.8195292 -7.6808818)",POINT (110.8195292 -7.6808818),15070.0,130.0,Kabupaten Sukoharjo,33110.0,20.0,-7.6808818,110.8195292,10.0
"POINT (110.920601 -7.817782)",POINT (110.920601 -7.817782),15080.0,130.0,Kabupaten Wonogiri,33120.0,20.0,-7.817782,110.920601,10.0
"POINT (110.9508333 -7.5961111)",POINT (110.9508333 -7.5961111),15090.0,130.0,Kabupaten Karanganyar,33130.0,20.0,-7.5961111,110.9508333,10.0
"POINT (111.021301 -7.430229)",POINT (111.021301 -7.430229),15100.0,130.0,Kabupaten Sragen,33140.0,20.0,-7.430229,111.021301,10.0
"POINT (110.9625854 -7.0217194)",POINT (110.9625854 -7.0217194),15110.0,130.0,Kabupaten Grobogan,33150.0,20.0,-7.0217194,110.9625854,10.0
"POINT (111.4166667 -6.95)",POINT (111.4166667 -6.95),15120.0,130.0,Kabupaten Blora,33160.0,20.0,-6.95,111.4166667,10.0
"POINT (111.345299 -6.71124)",POINT (111.345299 -6.71124),15130.0,130.0,Kabupaten Rembang,33170.0,20.0,-6.71124,111.345299,10.0
"POINT (111.038002 -6.751338)",POINT (111.038002 -6.751338),15140.0,130.0,Kabupaten Pati,33180.0,20.0,-6.751338,111.038002,10.0
"POINT (110.838203 -6.804087)",POINT (110.838203 -6.804087),15150.0,130.0,Kabupaten Kudus,33190.0,20.0,-6.804087,110.838203,10.0
"POINT (110.6717 -6.5596059)",POINT (110.6717 -6.5596059),15160.0,130.0,Kabupaten Jepara,33200.0,20.0,-6.5596059,110.6717,10.0
"POINT (110.639297 -6.888115)",POINT (110.639297 -6.888115),15170.0,130.0,Kabupaten Demak,33210.0,20.0,-6.888115,110.639297,10.0
"POINT (110.4166667 -6.9666667)",POINT (110.4166667 -6.9666667),15180.0,130.0,Kabupaten Semarang,33220.0,20.0,-6.9666667,110.4166667,10.0
"POINT (110.174797 -7.316669)",POINT (110.174797 -7.316669),15190.0,130.0,Kabupaten Temanggung,33230.0,20.0,-7.316669,110.174797,10.0
"POINT (110.205597 -6.919686)",POINT (110.205597 -6.919686),15200.0,130.0,Kabupaten Kendal,33240.0,20.0,-6.919686,110.205597,10.0
"POINT (109.7234519 -6.8941111)",POINT (109.7234519 -6.8941111),15210.0,130.0,Kabupaten Batang,33250.0,20.0,-6.8941111,109.7234519,10.0
"POINT (109.669998 -6.882887)",POINT (109.669998 -6.882887),15220.0,130.0,Kabupaten Pekalongan,33260.0,20.0,-6.882887,109.669998,10.0
"POINT (109.377998 -6.884234)",POINT (109.377998 -6.884234),15230.0,130.0,Kabupaten Pemalang,33270.0,20.0,-6.884234,109.377998,10.0
"POINT (109.1333333 -6.8666667)",POINT (109.1333333 -6.8666667),15240.0,130.0,Kabupaten Tegal,33280.0,20.0,-6.8666667,109.1333333,10.0
"POINT (109.05 -6.8833333)",POINT (109.05 -6.8833333),15250.0,130.0,Kabupaten Brebes,33290.0,20.0,-6.8833333,109.05,10.0
"POINT (110.213799 -7.481253)",POINT (110.213799 -7.481253),15260.0,130.0,Kota Magelang,33710.0,20.0,-7.481253,110.213799,10.0
"POINT (110.8166667 -7.5666667)",POINT (110.8166667 -7.5666667),15270.0,130.0,Kota Surakarta,33720.0,20.0,-7.5666667,110.8166667,10.0
"POINT (110.4729 -7.302328)",POINT (110.4729 -7.302328),15280.0,130.0,Kota Salatiga,33730.0,20.0,-7.302328,110.4729,10.0
"POINT (110.4166667 -6.9666667)",POINT (110.4166667 -6.9666667),15290.0,130.0,Kota Semarang,33740.0,20.0,-6.9666667,110.4166667,10.0
"POINT (109.669998 -6.882887)",POINT (109.669998 -6.882887),15300.0,130.0,Kota Pekalongan,33750.0,20.0,-6.882887,109.669998,10.0
"POINT (109.1333333 -6.8666667)",POINT (109.1333333 -6.8666667),15310.0,130.0,Kota Tegal,33760.0,20.0,-6.8666667,109.1333333,
