WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (114.3669444 -8.2186111)",POINT (114.3669444 -8.2186111),8210.0,150.0,Kabupaten Banyuwangi,15010.0,20.0,-8.2186111,114.3669444,10.0
"POINT (111.505483 -7.627753)",POINT (111.505483 -7.627753),8230.0,150.0,Kabupaten Madiun,15020.0,20.0,-7.627753,111.505483,10.0
"POINT (111.466003 -7.867827)",POINT (111.466003 -7.867827),8240.0,150.0,Kabupaten Ponorogo,15030.0,20.0,-7.867827,111.466003,10.0
"POINT (111.3381593 -7.6493413)",POINT (111.3381593 -7.6493413),8250.0,150.0,Kabupaten Magetan,15040.0,20.0,-7.6493413,111.3381593,10.0
"POINT (111.08769 -8.204614)",POINT (111.08769 -8.204614),8260.0,150.0,Kabupaten Pacitan,15050.0,20.0,-8.204614,111.08769,10.0
"POINT (111.46193 -7.38993)",POINT (111.46193 -7.38993),8270.0,150.0,Kabupaten Ngawi,15060.0,20.0,-7.38993,111.46193,10.0
"POINT (112.7450068 -7.0306912)",POINT (112.7450068 -7.0306912),8280.0,150.0,Kabupaten Bangkalan,15070.0,20.0,-7.0306912,112.7450068,10.0
"POINT (112.032356 -7.809356)",POINT (112.032356 -7.809356),8290.0,150.0,Kabupaten Kediri,15080.0,20.0,-7.809356,112.032356,10.0
"POINT (113.813483 -7.917704)",POINT (113.813483 -7.917704),8300.0,150.0,Kabupaten Bondowoso,15090.0,20.0,-7.917704,113.813483,10.0
"POINT (112.162762 -8.1014419)",POINT (112.162762 -8.1014419),8310.0,150.0,Kabupaten Blitar,15100.0,20.0,-8.1014419,112.162762,10.0
"POINT (111.7166667 -8.05)",POINT (111.7166667 -8.05),8320.0,150.0,Kabupaten Trenggalek,15110.0,20.0,-8.05,111.7166667,10.0
"POINT (111.9 -8.0666667)",POINT (111.9 -8.0666667),8330.0,150.0,Kabupaten Tulungagung,15120.0,20.0,-8.0666667,111.9,10.0
"POINT (111.901808 -7.602932)",POINT (111.901808 -7.602932),8340.0,150.0,Kabupaten Nganjuk,15130.0,20.0,-7.602932,111.901808,10.0
"POINT (113.955605 -7.702534)",POINT (113.955605 -7.702534),8350.0,150.0,Kabupaten Situbondo,15140.0,20.0,-7.702534,113.955605,10.0
